SECCION,ANIO,ESTRUCTURA_TRADICIONAL,ESTRUCTURA_IZQUIERDA,VOTOS_MC,VOTOS_NULOS,VOTOS_TOTALES,LISTA_NOMINAL_HIST,PARTICIPACION_PCT
5204,2012,171.0,75.0,3.0,4.0,126.0,0.0,0.0
5204,2015,83.0,12.0,4.0,1.0,104.0,0.0,0.0
5204,2018,487.0,44.0,2.0,2.0,135.0,171.0,78.95
5204,2021,493.0,37.0,1.0,1.0,128.0,163.0,78.53
5204,2024,448.0,32.0,3.0,1.0,127.0,151.0,84.11
5205,2012,594.0,288.0,11.0,26.0,604.0,0.0,0.0
5205,2015,223.0,62.0,14.0,17.0,332.0,0.0,0.0
5205,2018,1808.0,219.0,14.0,9.0,521.0,670.0,77.76
5205,2021,1790.0,227.0,9.0,15.0,511.0,665.0,76.84
5205,2024,1755.0,171.0,31.0,10.0,501.0,638.0,78.53
5206,2012,732.0,366.0,8.0,15.0,725.0,0.0,0.0
5206,2015,424.0,69.0,11.0,23.0,516.0,0.0,0.0
5206,2018,2247.0,229.0,14.0,8.0,652.0,830.0,78.55
5206,2021,2085.0,194.0,14.0,10.0,534.0,794.0,67.25
5206,2024,2081.0,189.0,35.0,7.0,590.0,761.0,77.53
5207,2012,616.0,314.0,7.0,19.0,599.0,0.0,0.0
5207,2015,344.0,72.0,10.0,27.0,449.0,0.0,0.0
5207,2018,1877.0,211.0,16.0,10.0,548.0,702.0,78.06
5207,2021,1839.0,149.0,9.0,9.0,471.0,699.0,67.38
5207,2024,1789.0,142.0,36.0,10.0,518.0,650.0,79.69
5208,2012,225.0,97.0,3.0,8.0,192.0,0.0,0.0
5208,2015,138.0,17.0,5.0,9.0,166.0,0.0,0.0
5208,2018,757.0,78.0,5.0,4.0,212.0,271.0,78.23
5208,2021,720.0,56.0,5.0,4.0,178.0,266.0,66.92
5208,2024,717.0,66.0,11.0,3.0,191.0,259.0,73.75
5209,2012,267.0,114.0,5.0,2.0,239.0,0.0,0.0
5209,2015,140.0,19.0,7.0,9.0,179.0,0.0,0.0
5209,2018,862.0,89.0,6.0,9.0,240.0,326.0,73.62
5209,2021,852.0,87.0,5.0,6.0,199.0,325.0,61.23
5209,2024,846.0,74.0,22.0,8.0,218.0,320.0,68.12
5210,2012,390.0,165.0,7.0,9.0,370.0,0.0,0.0
5210,2015,211.0,33.0,5.0,9.0,261.0,0.0,0.0
5210,2018,1369.0,155.0,2.0,3.0,383.0,503.0,76.14
5210,2021,1215.0,121.0,3.0,4.0,305.0,461.0,66.16
5210,2024,1203.0,111.0,16.0,6.0,342.0,435.0,78.62
5211,2012,402.0,188.0,4.0,12.0,378.0,0.0,0.0
5211,2015,210.0,64.0,8.0,16.0,296.0,0.0,0.0
5211,2018,1417.0,167.0,10.0,13.0,431.0,531.0,81.17
5211,2021,1384.0,120.0,2.0,6.0,338.0,526.0,64.26
5211,2024,1374.0,93.0,18.0,5.0,381.0,493.0,77.28
5212,2012,307.0,128.0,4.0,8.0,280.0,0.0,0.0
5212,2015,158.0,31.0,7.0,7.0,208.0,0.0,0.0
5212,2018,840.0,96.0,5.0,3.0,234.0,312.0,75.0
