SECCION,ANIO,TIPO_ELECCION,ESTRUCTURA_TRADICIONAL,ESTRUCTURA_IZQUIERDA,VOTOS_TOTALES,LISTA_NOMINAL_HIST
5258,2017,GUBERNATURA,4479.0,348.0,1123.0,1719.0
5258,2023,GUBERNATURA,4779.0,482.0,1154.0,1827.0
5259,2017,GUBERNATURA,3970.0,277.0,923.0,1562.0
5259,2023,GUBERNATURA,4382.0,460.0,1054.0,1673.0
5260,2017,GUBERNATURA,3226.0,263.0,807.0,1240.0
5260,2023,GUBERNATURA,3438.0,384.0,858.0,1301.0
5261,2017,GUBERNATURA,6985.0,517.0,1609.0,2751.0
5261,2023,GUBERNATURA,7502.0,870.0,1686.0,2929.0
5262,2017,GUBERNATURA,4291.0,298.0,1012.0,1679.0
5262,2023,GUBERNATURA,4478.0,500.0,1030.0,1737.0
5263,2023,GUBERNATURA,6150.0,596.0,1441.0,2372.0
5264,2017,GUBERNATURA,4730.0,385.0,1221.0,1794.0
5264,2023,GUBERNATURA,4906.0,522.0,1268.0,1831.0
5265,2017,GUBERNATURA,4656.0,401.0,1224.0,1769.0
5265,2023,GUBERNATURA,4827.0,519.0,1250.0,1801.0
5266,2017,GUBERNATURA,8049.0,475.0,2034.0,3134.0
5266,2023,GUBERNATURA,9493.0,1077.0,2032.0,3765.0
5267,2017,GUBERNATURA,7155.0,423.0,1580.0,2865.0
5267,2023,GUBERNATURA,8264.0,967.0,1633.0,3345.0
5268,2017,GUBERNATURA,6865.0,396.0,1621.0,2734.0
5268,2023,GUBERNATURA,8339.0,1024.0,1680.0,3358.0
5269,2017,GUBERNATURA,11050.0,643.0,2468.0,4432.0
5269,2023,GUBERNATURA,12793.0,1351.0,2354.0,5258.0
5270,2017,GUBERNATURA,7764.0,499.0,1776.0,3099.0
5270,2023,GUBERNATURA,9178.0,1087.0,1800.0,3722.0
5271,2017,GUBERNATURA,18844.0,1227.0,4207.0,7503.0
5271,2023,GUBERNATURA,23135.0,2361.0,4886.0,9191.0
5272,2017,GUBERNATURA,8604.0,685.0,2297.0,3237.0
5272,2023,GUBERNATURA,9436.0,1019.0,2473.0,3505.0
5273,2017,GUBERNATURA,4180.0,307.0,1023.0,1620.0
5273,2023,GUBERNATURA,5288.0,709.0,1207.0,2054.0
5274,2017,GUBERNATURA,5743.0,422.0,1437.0,2224.0
5274,2023,GUBERNATURA,6391.0,803.0,1522.0,2458.0
5275,2017,GUBERNATURA,4423.0,295.0,1123.0,1704.0
5275,2023,GUBERNATURA,5029.0,689.0,1249.0,1905.0
5276,2017,GUBERNATURA,3664.0,235.0,887.0,1443.0
5276,2023,GUBERNATURA,3973.0,481.0,928.0,1534.0
5277,2017,GUBERNATURA,5229.0,374.0,1295.0,2010.0
5277,2023,GUBERNATURA,5624.0,622.0,1304.0,2175.0
5278,2017,GUBERNATURA,9593.0,637.0,2295.0,3756.0
5278,2023,GUBERNATURA,11493.0,1406.0,2594.0,4488.0
5279,2017,GUBERNATURA,3081.0,226.0,769.0,1191.0
5279,2023,GUBERNATURA,3427.0,418.0,858.0,1296.0
5280,2017,GUBERNATURA,14708.0,1135.0,3619.0,5680.0
5280,2023,GUBERNATURA,17366.0,1780.0,3973.0,6743.0
5281,2017,GUBERNATURA,8112.0,591.0,1882.0,3176.0
5281,2023,GUBERNATURA,9623.0,944.0,2198.0,3742.0
5282,2017,GUBERNATURA,2988.0,242.0,744.0,1159.0
5282,2023,GUBERNATURA,3162.0,401.0,762.0,1205.0
5283,2017,GUBERNATURA,5790.0,420.0,1390.0,2267.0
5283,2023,GUBERNATURA,6675.0,856.0,1524.0,2594.0
5284,2017,GUBERNATURA,4432.0,331.0,1140.0,1677.0
5284,2023,GUBERNATURA,4839.0,458.0,1245.0,1814.0
5285,2017,GUBERNATURA,8741.0,663.0,2078.0,3431.0
5285,2023,GUBERNATURA,9802.0,1253.0,2314.0,3773.0
5286,2017,GUBERNATURA,6513.0,484.0,1562.0,2560.0
5286,2023,GUBERNATURA,7649.0,1126.0,1768.0,2957.0
5287,2017,GUBERNATURA,6106.0,460.0,1627.0,2290.0
5287,2023,GUBERNATURA,6525.0,635.0,1707.0,2431.0
5288,2017,GUBERNATURA,3825.0,320.0,1021.0,1442.0
5288,2023,GUBERNATURA,4062.0,401.0,1048.0,1516.0
5289,2017,GUBERNATURA,4356.0,302.0,1066.0,1694.0
5289,2023,GUBERNATURA,4978.0,580.0,1206.0,1907.0
5290,2017,GUBERNATURA,3627.0,246.0,931.0,1381.0
5290,2023,GUBERNATURA,3861.0,478.0,913.0,1484.0
5291,2017,GUBERNATURA,7385.0,515.0,1745.0,2894.0
5291,2023,GUBERNATURA,8190.0,953.0,1905.0,3166.0
5292,2017,GUBERNATURA,8119.0,671.0,2070.0,3096.0
5292,2023,GUBERNATURA,8953.0,865.0,2043.0,3477.0
5293,2017,GUBERNATURA,5483.0,403.0,1406.0,2114.0
5293,2023,GUBERNATURA,5988.0,688.0,1435.0,2297.0
5294,2017,GUBERNATURA,4678.0,347.0,1209.0,1789.0
5294,2023,GUBERNATURA,5206.0,604.0,1267.0,1985.0
5295,2017,GUBERNATURA,11650.0,746.0,2627.0,4639.0
5295,2023,GUBERNATURA,13875.0,1510.0,2923.0,5520.0
5296,2017,GUBERNATURA,15616.0,1081.0,3758.0,6099.0
5296,2023,GUBERNATURA,17949.0,1809.0,3774.0,7134.0
5297,2017,GUBERNATURA,9854.0,607.0,2192.0,3915.0
5297,2023,GUBERNATURA,11833.0,1151.0,2522.0,4686.0
5298,2017,GUBERNATURA,12678.0,819.0,2638.0,5131.0
5298,2023,GUBERNATURA,15182.0,1702.0,3195.0,6046.0
5299,2017,GUBERNATURA,3089.0,261.0,841.0,1155.0
5299,2023,GUBERNATURA,3214.0,352.0,848.0,1194.0
5300,2017,GUBERNATURA,3996.0,259.0,972.0,1553.0
5300,2023,GUBERNATURA,4669.0,588.0,1084.0,1807.0
5301,2017,GUBERNATURA,3573.0,263.0,847.0,1400.0
5301,2023,GUBERNATURA,4150.0,444.0,936.0,1616.0
5302,2017,GUBERNATURA,3845.0,334.0,1106.0,1398.0
5302,2023,GUBERNATURA,3959.0,329.0,1135.0,1420.0
5303,2017,GUBERNATURA,17433.0,1246.0,4141.0,6820.0
5303,2023,GUBERNATURA,21981.0,2260.0,5076.0,8497.0
5304,2017,GUBERNATURA,7220.0,558.0,1875.0,2744.0
5304,2023,GUBERNATURA,8056.0,875.0,2049.0,3021.0
5305,2017,GUBERNATURA,10074.0,825.0,2601.0,3809.0
5305,2023,GUBERNATURA,10471.0,833.0,2596.0,3956.0
5306,2017,GUBERNATURA,5829.0,416.0,1482.0,2224.0
5306,2023,GUBERNATURA,6391.0,634.0,1607.0,2414.0
5307,2017,GUBERNATURA,2870.0,227.0,757.0,1082.0
5307,2023,GUBERNATURA,2741.0,256.0,694.0,1029.0
5308,2017,GUBERNATURA,3411.0,326.0,1434.0,1042.0
5308,2023,GUBERNATURA,3490.0,573.0,1617.0,948.0
5309,2017,GUBERNATURA,9395.0,679.0,2321.0,3647.0
5309,2023,GUBERNATURA,10461.0,1402.0,2479.0,4020.0
5310,2017,GUBERNATURA,5496.0,451.0,1407.0,2099.0
5310,2023,GUBERNATURA,6055.0,761.0,1502.0,2292.0
5311,2017,GUBERNATURA,5369.0,392.0,1385.0,2060.0
5311,2023,GUBERNATURA,5968.0,725.0,1464.0,2268.0
5312,2017,GUBERNATURA,2818.0,261.0,746.0,1054.0
5312,2023,GUBERNATURA,2897.0,238.0,757.0,1081.0
5313,2017,GUBERNATURA,3836.0,286.0,988.0,1455.0
5313,2023,GUBERNATURA,3852.0,316.0,953.0,1457.0
5314,2017,GUBERNATURA,4113.0,306.0,1083.0,1547.0
5314,2023,GUBERNATURA,4189.0,387.0,1045.0,1581.0
5315,2017,GUBERNATURA,1899.0,131.0,522.0,703.0
5315,2023,GUBERNATURA,1845.0,171.0,508.0,676.0
5316,2017,GUBERNATURA,5662.0,459.0,1451.0,2167.0
5316,2023,GUBERNATURA,6256.0,609.0,1478.0,2414.0
5317,2017,GUBERNATURA,11542.0,848.0,2673.0,4556.0
5317,2023,GUBERNATURA,13747.0,1447.0,3152.0,5339.0
5318,2017,GUBERNATURA,10123.0,814.0,2481.0,3920.0
5318,2023,GUBERNATURA,11436.0,1243.0,2617.0,4445.0
5319,2017,GUBERNATURA,5628.0,407.0,1361.0,2190.0
5319,2023,GUBERNATURA,6372.0,706.0,1450.0,2484.0
5320,2017,GUBERNATURA,6161.0,489.0,1594.0,2347.0
5320,2023,GUBERNATURA,6541.0,685.0,1675.0,2451.0
5321,2017,GUBERNATURA,3833.0,314.0,1019.0,1444.0
5321,2023,GUBERNATURA,3971.0,383.0,1004.0,1492.0
5322,2017,GUBERNATURA,4357.0,353.0,1137.0,1663.0
5322,2023,GUBERNATURA,4514.0,502.0,1140.0,1700.0
5323,2017,GUBERNATURA,10384.0,706.0,2416.0,4120.0
5323,2023,GUBERNATURA,11739.0,1485.0,2672.0,4560.0
5324,2017,GUBERNATURA,5570.0,441.0,1360.0,2173.0
5324,2023,GUBERNATURA,6105.0,839.0,1433.0,2352.0
5325,2017,GUBERNATURA,4723.0,385.0,1190.0,1810.0
5325,2023,GUBERNATURA,5273.0,661.0,1255.0,2025.0
5326,2017,GUBERNATURA,6254.0,503.0,1599.0,2398.0
5326,2023,GUBERNATURA,6823.0,786.0,1638.0,2615.0
5327,2017,GUBERNATURA,3944.0,306.0,1015.0,1515.0
5327,2023,GUBERNATURA,4419.0,638.0,1083.0,1681.0
5328,2017,GUBERNATURA,2694.0,200.0,728.0,1012.0
5328,2023,GUBERNATURA,2645.0,255.0,688.0,985.0
5329,2017,GUBERNATURA,6219.0,504.0,1584.0,2383.0
5329,2023,GUBERNATURA,6899.0,747.0,1687.0,2630.0
5336,2017,GUBERNATURA,6603.0,426.0,1587.0,2579.0
5336,2023,GUBERNATURA,7122.0,706.0,1665.0,2753.0
5342,2023,GUBERNATURA,5707.0,647.0,1391.0,2177.0
5343,2023,GUBERNATURA,7527.0,854.0,1724.0,2924.0
5344,2023,GUBERNATURA,3594.0,350.0,830.0,1393.0
5354,2017,GUBERNATURA,10306.0,771.0,2575.0,3974.0
5354,2023,GUBERNATURA,12236.0,1532.0,2899.0,4704.0
5355,2017,GUBERNATURA,9538.0,415.0,2017.0,3878.0
5355,2023,GUBERNATURA,11100.0,863.0,2013.0,4579.0
5356,2017,GUBERNATURA,6614.0,355.0,1631.0,2562.0
5356,2023,GUBERNATURA,7679.0,964.0,1719.0,3007.0
5357,2017,GUBERNATURA,3038.0,130.0,704.0,1200.0
5357,2023,GUBERNATURA,4361.0,508.0,903.0,1748.0
5358,2017,GUBERNATURA,4756.0,208.0,1182.0,1839.0
5358,2023,GUBERNATURA,5662.0,584.0,1237.0,2236.0
5359,2017,GUBERNATURA,8149.0,513.0,1926.0,3192.0
5359,2023,GUBERNATURA,10137.0,1049.0,2238.0,3981.0
5360,2017,GUBERNATURA,5305.0,367.0,1324.0,2058.0
5360,2023,GUBERNATURA,6425.0,841.0,1492.0,2491.0
5361,2017,GUBERNATURA,5039.0,244.0,1211.0,1999.0
5361,2023,GUBERNATURA,5945.0,611.0,1157.0,2416.0
5362,2017,GUBERNATURA,13272.0,719.0,2875.0,5364.0
5362,2023,GUBERNATURA,17543.0,1997.0,3380.0,7138.0
5363,2017,GUBERNATURA,6512.0,434.0,1458.0,2581.0
5363,2023,GUBERNATURA,11549.0,1027.0,2537.0,4531.0
5364,2017,GUBERNATURA,7514.0,507.0,1737.0,2995.0
5364,2023,GUBERNATURA,8884.0,914.0,1550.0,3690.0
5365,2017,GUBERNATURA,5138.0,297.0,1212.0,2029.0
5365,2023,GUBERNATURA,6488.0,750.0,1378.0,2571.0
5367,2017,GUBERNATURA,4704.0,237.0,1101.0,1871.0
5367,2023,GUBERNATURA,5893.0,671.0,1186.0,2374.0
5368,2017,GUBERNATURA,6861.0,339.0,1508.0,2765.0
5368,2023,GUBERNATURA,8180.0,821.0,1501.0,3367.0
5369,2017,GUBERNATURA,4710.0,261.0,1068.0,1895.0
5369,2023,GUBERNATURA,5936.0,696.0,1313.0,2335.0
5370,2017,GUBERNATURA,6306.0,322.0,1466.0,2525.0
5370,2023,GUBERNATURA,7700.0,837.0,1569.0,3097.0
5371,2017,GUBERNATURA,2770.0,209.0,667.0,1085.0
5371,2023,GUBERNATURA,3954.0,481.0,895.0,1538.0
